,x-centroids,y-centroids,pixel major,pixel minor,puncta major,puncta minor,aspect ratio,average background,puncta intensity,partition coeff,file number,channel number,frame number,stack number,puncta index,covariances
0,471.0331826068445,24.956343239660967,5.696642460937869,3.4863680707699607,0.27839833746802595,0.17038090091828778,1.63397620254128,1395.8026315789473,4687.0,3.3579246047831375,file1,channel2,1,zstack1,0,"[9.61922045e+01 4.59775121e-02 6.27765350e-02 1.36626658e-02
 1.30464537e-02 7.17543470e-03 3.50057842e+01]"
1,509.092651404275,27.654113794091543,5.824133114418126,4.066037848041671,0.2846288822520798,0.19870971098131857,1.4323853668069537,1542.9024390243903,5765.0,3.7364643766104426,file1,channel2,1,zstack1,2,"[8.80020416e+01 3.34564644e-02 4.73647340e-02 8.27209451e-03
 6.56648579e-03 4.10258953e-03 3.93301166e+01]"
2,638.5809712916524,31.11385816935985,4.564465318426972,3.6921566448039287,0.22306816072696337,0.18043791209176774,1.2362599308592896,726.8524590163935,3899.0,5.364224818440164,file1,channel2,1,zstack1,3,"[3.95026401e+01 1.78216156e-02 2.16607379e-02 5.30044931e-03
 5.28685660e-03 3.54822012e-03 1.23899469e+01]"
3,462.6090401938139,35.130982124010096,7.284113959574367,4.493380392704933,0.3559790227626962,0.21959419772581765,1.6210766333961466,2051.6593406593406,5663.0,2.7602048194707045,file1,channel2,1,zstack1,4,"[9.77383193e+01 6.22117013e-02 6.94825880e-02 7.65898108e-03
 8.93712303e-03 6.36681157e-03 6.12930085e+01]"
4,492.7101608206049,47.07459306257587,9.046454873678647,3.3718116817118577,0.4421056813871058,0.16478246140259004,2.682965636172715,1796.2151898734178,4018.0,2.236925744004623,file1,channel2,1,zstack1,5,"[7.86233983e+01 9.52184179e-02 8.58676552e-02 9.98452748e-03
 1.85497047e-02 1.19919461e-02 3.71756868e+01]"
5,457.49171333763337,62.051664815729424,7.633400737676605,3.1927406657209705,0.3730488773287869,0.15603115333254386,2.3908615001628593,1292.962962962963,4116.0,3.1833858493268403,file1,channel2,1,zstack1,6,"[4.81082453e+01 2.45237649e-02 5.16019617e-02 9.39452258e-03
 6.87910952e-03 2.60577452e-03 1.80868566e+01]"
6,545.0512398933912,173.30740070468528,4.16431839184077,3.248994397242815,0.2035127401667974,0.15878030696811812,1.2817253225720315,1172.88,3923.0,3.344758202032603,file1,channel2,1,zstack1,7,"[8.80724803e+01 4.20884122e-02 5.22157789e-02 1.71171815e-02
 1.76528142e-02 1.10635367e-02 2.20713736e+01]"
7,476.31219863753813,175.26673074203845,4.647848279934848,3.548034817702687,0.22714313612100126,0.1733945918670973,1.3099782044822994,1224.8028169014085,5034.0,4.110049332459378,file1,channel2,1,zstack1,8,"[8.18479071e+01 3.01588509e-02 3.74794154e-02 9.56231652e-03
 9.53342650e-03 6.12046921e-03 2.49791064e+01]"
8,434.55376968648955,184.2597854610141,5.2479332005138675,4.6376767011496645,0.25646964649520626,0.22664604495850726,1.1315866841716073,1123.860465116279,3531.0,3.1418491081405455,file1,channel2,1,zstack1,9,"[5.01375497e+01 4.08678733e-02 3.71581944e-02 5.11981271e-03
 6.07403564e-03 6.24827660e-03 2.47458541e+01]"
9,406.3742362268417,188.2707082015578,5.795736346356208,3.3903028120146743,0.28324111514678707,0.1656861340430108,1.7095040377564723,1205.337837837838,4306.0,3.572442401479903,file1,channel2,1,zstack1,10,"[5.57505921e+01 3.57529607e-02 3.03868304e-02 5.35580461e-03
 8.92002771e-03 7.45704375e-03 1.99628960e+01]"
10,556.1916036481573,189.89635624865014,6.900264264353456,4.278885897651913,0.3372200576846041,0.20911172296489097,1.6126310514940478,1508.2247191011236,4220.0,2.797991537040348,file1,channel2,1,zstack1,11,"[6.09478215e+01 5.62870035e-02 4.06545518e-02 4.21883835e-03
 6.78020821e-03 7.24313415e-03 3.33558581e+01]"
11,393.80557631680216,194.59953782948972,5.739572794984835,3.2282606331565757,0.28049636866931266,0.15776703546816992,1.7779149353789045,1592.8333333333333,5913.0,3.7122527989955008,file1,channel2,1,zstack1,12,"[7.04044386e+01 2.73099455e-02 3.01994798e-02 6.66993414e-03
 8.77694811e-03 5.42257386e-03 2.38326466e+01]"
12,543.813105240333,202.863614938413,5.7587399864706175,3.9399530912047243,0.2814330808256685,0.1925478732103577,1.4616265354341467,1132.964705882353,4105.0,3.623237315943594,file1,channel2,1,zstack1,13,"[6.38309925e+01 3.42444077e-02 4.96333170e-02 9.28870522e-03
 7.18075833e-03 4.29720505e-03 2.72598300e+01]"
13,493.0795866517969,221.54786795900614,5.375116544625556,3.4986693867451795,0.26268517288590215,0.17098207361600454,1.5363316593986722,1124.972602739726,4809.0,4.274770770673259,file1,channel2,1,zstack1,14,"[5.67015487e+01 2.26432130e-02 3.20558274e-02 7.43072690e-03
 6.55678099e-03 3.64902800e-03 1.93982681e+01]"
14,391.1030635522009,237.952744213776,5.838355215193896,3.747662616421338,0.2853239248562851,0.18315052225183914,1.5578657453346139,1355.891304347826,4030.0,2.9722146510397462,file1,channel2,1,zstack1,16,"[8.76395063e+01 6.33909321e-02 7.50920348e-02 1.37580298e-02
 1.50742784e-02 9.63476664e-03 3.64580568e+01]"
15,519.2887248191972,244.93749134345242,5.070904891530863,4.414049205714255,0.24781816674312607,0.21571723498521875,1.1488102318764977,1963.7717391304348,6977.0,3.55285691354813,file1,channel2,1,zstack1,17,"[1.39395769e+02 5.38793405e-02 5.30337714e-02 8.24186000e-03
 9.58830891e-03 8.56802234e-03 6.00793138e+01]"
16,536.8388574604816,247.17170023165713,6.268996500007568,3.693854500438462,0.3063696230125782,0.180520887316061,1.6971422397020337,1323.287356321839,4163.0,3.1459531296145093,file1,channel2,1,zstack1,18,"[5.17381377e+01 4.09277088e-02 3.43961175e-02 4.94465086e-03
 8.13060756e-03 7.09797238e-03 2.24662524e+01]"
17,527.8258934387403,255.95852609725,6.374506951536101,3.636040448096427,0.31152598212980603,0.1776954798651496,1.7531452255635223,2379.868131868132,7049.0,2.9619288168150417,file1,channel2,1,zstack1,19,"[9.81926543e+01 3.91217179e-02 5.03142653e-02 9.02323944e-03
 9.58152284e-03 5.36743631e-03 4.20163192e+01]"
18,485.93234641532104,261.9928617709986,5.129142317968293,4.316835352498198,0.25066426474028347,0.210966335609,1.1881718664576828,1782.0,5953.0,3.340628507295174,file1,channel2,1,zstack1,20,"[8.26145125e+01 3.46736254e-02 3.74525955e-02 6.34975649e-03
 6.61772101e-03 5.38030564e-03 3.65295857e+01]"
19,602.3693444760282,268.18568660367555,7.212582042079705,3.6488670075522585,0.35248321500523777,0.1783223215271328,1.976663448448911,1427.725,4431.0,3.1035388467667095,file1,channel2,1,zstack1,21,"[8.66437745e+01 6.93448795e-02 6.45306966e-02 8.57289727e-03
 1.38336746e-02 9.91093689e-03 3.99602868e+01]"
20,373.0014887582895,269.8068624838805,4.768552967996316,3.892039203943871,0.23304204670058093,0.1902062927712624,1.2252068178460942,997.741935483871,4537.0,4.547268024571613,file1,channel2,1,zstack1,22,"[5.54505495e+01 2.44079245e-02 2.80604053e-02 5.97942011e-03
 6.20711519e-03 4.46774832e-03 1.95139207e+01]"
21,341.17993562156215,271.2996421943326,4.667647668594306,4.292908034926402,0.22811074413282104,0.20979699323272583,1.087292723398471,1122.536231884058,4901.0,4.366006068039507,file1,channel2,1,zstack1,23,"[5.11813595e+01 2.22958902e-02 2.40994157e-02 4.53270472e-03
 4.78097243e-03 3.84518452e-03 1.98852169e+01]"
22,358.27200067364976,270.75844454904257,6.390634049894046,4.323853980970731,0.31231412310965895,0.21130934019660708,1.4779948809601822,1800.4941176470588,5482.0,3.0447197501339502,file1,channel2,1,zstack1,24,"[6.98394282e+01 3.44091657e-02 4.18300796e-02 5.96448571e-03
 5.79274945e-03 3.96576769e-03 3.87622882e+01]"
23,563.262090114663,273.3097405471329,6.965066510806329,5.082561881432599,0.340386982377593,0.24838785083876272,1.3703849895563134,2075.2391304347825,4773.0,2.299975906391092,file1,channel2,1,zstack1,25,"[8.58610505e+01 6.41800598e-02 6.71651512e-02 6.90210541e-03
 6.95870288e-03 5.78043970e-03 5.99235647e+01]"
24,642.8119063766707,274.96442016767134,4.711636253385181,3.8841706404812397,0.23026049268336193,0.18982175135036766,1.213035339971938,1521.5,7207.0,4.736772921459086,file1,channel2,1,zstack1,26,"[9.05682279e+01 2.77894605e-02 2.74595155e-02 5.51179513e-03
 6.80653285e-03 5.65207487e-03 3.15078930e+01]"
25,385.4225504326713,276.003078312067,6.169915275252194,3.624630737132574,0.30152746406801795,0.17713788043967954,1.7022189907635064,1314.8292682926829,4631.0,3.522130296059954,file1,channel2,1,zstack1,27,"[6.20957092e+01 2.66010007e-02 4.49141179e-02 8.96951874e-03
 6.23237792e-03 3.12910080e-03 2.46078605e+01]"
26,624.490383795253,282.51071803088746,5.991061577554126,4.021913288774784,0.292786776473425,0.19655331727649258,1.4896048590294728,2340.823529411765,7757.0,3.3137910237724277,file1,channel2,1,zstack1,28,"[8.90496443e+01 3.28416082e-02 3.05908800e-02 4.38123195e-03
 6.00640098e-03 5.07477918e-03 4.13262869e+01]"
27,500.33052182986216,287.45318556665063,6.6453372237961785,3.8128183997075764,0.3247616201482056,0.18633472450214666,1.7428937146090782,2238.5227272727275,6602.0,2.9492664602264074,file1,channel2,1,zstack1,29,"[1.23467785e+02 4.34467072e-02 7.67866235e-02 1.31118070e-02
 8.65736179e-03 4.41461361e-03 5.45672199e+01]"
28,425.08902370990705,288.44874517097503,5.144155590133522,3.217734670397774,0.2513979723653301,0.1572526253481045,1.598688554857634,1239.75,4584.0,3.6975196612220205,file1,channel2,1,zstack1,30,"[8.84394291e+01 3.91786556e-02 4.77545357e-02 1.24047977e-02
 1.39899497e-02 8.26775601e-03 2.67807774e+01]"
29,330.86427447548857,290.45086039529514,6.9319740374362,3.8500194373885814,0.33876973333447297,0.18815276155002067,1.800503646843422,1537.7682926829268,3912.0,2.54394632703395,file1,channel2,1,zstack1,31,"[6.41387395e+01 5.71658833e-02 5.78193655e-02 7.88867796e-03
 1.11518581e-02 7.75101981e-03 3.19268377e+01]"
30,487.231684808653,290.48281770026273,7.853569452857141,4.213198314837263,0.3838086546342844,0.2059015313523247,1.86403982580167,2375.3695652173915,6239.0,2.626538662176137,file1,channel2,1,zstack1,32,"[1.21904079e+02 9.09397454e-02 7.55479655e-02 7.50539850e-03
 1.19652831e-02 9.69777481e-03 7.12620937e+01]"
31,346.3905497418736,292.46696768839826,4.306256444793566,3.5174518952609266,0.21044933803764243,0.17189998608464174,1.2242545379498715,1346.3088235294117,7778.0,5.777277741974244,file1,channel2,1,zstack1,33,"[7.94161403e+01 1.68704697e-02 1.99020604e-02 5.48773812e-03
 5.82255371e-03 3.91734687e-03 2.22190348e+01]"
32,474.4768077827465,298.65104311500227,4.620026035308141,3.559255475943537,0.22578344632094507,0.1739429521724824,1.2980315873738735,1280.7045454545455,4225.0,3.2989654132136073,file1,channel2,1,zstack1,34,"[1.07421709e+02 6.14738623e-02 5.86452123e-02 1.32137333e-02
 1.78038477e-02 1.45633095e-02 3.28127698e+01]"
33,409.0026930472989,301.551178845706,4.6360817810401995,3.470709352625463,0.22656810025512908,0.16961564996069287,1.3357735580863825,1457.6630434782608,6911.0,4.741150590954849,file1,channel2,1,zstack1,35,"[1.41254763e+02 3.78993731e-02 4.84466796e-02 1.29044701e-02
 1.25728385e-02 7.80710539e-03 4.18170682e+01]"
