frame number,number of droplets,network area,average network int,average droplet int,droplet density
3.0,4.0,70.88232200000002,970.5951106413447,1900.5765306122448,0.05643155990290497
4.0,3.0,71.00237200000001,964.3554120645709,2142.1360544217687,0.04225210954924153
5.0,2.0,70.43333500000001,986.2085371276123,2210.3061224489793,0.02839564532901927
6.0,6.0,71.05999600000001,947.9489830739831,1852.7142857142856,0.0844356929037823
7.0,5.0,70.35410200000001,966.6389634524055,1945.7551020408166,0.07106906147419804
8.0,6.0,70.10920000000002,976.2844246134689,1882.6836734693877,0.08558077969795688
9.0,4.0,70.222047,978.7086603331957,2015.1479591836733,0.05696216745148429
10.0,3.0,71.028783,927.8564198369565,1914.1632653061224,0.0422363987286675
11.0,5.0,70.86791600000001,936.0473148401203,2162.738775510204,0.07055378910817696
12.0,7.0,71.21125900000001,920.2605729877217,1797.521865889213,0.0982990625120109
13.0,5.0,71.08880800000001,932.653159901934,1884.7061224489798,0.07033455955542255
14.0,6.0,70.93514400000001,937.3159819536537,2008.2482993197277,0.0845843070396812
15.0,5.0,70.99757000000001,936.077287603982,2067.628571428572,0.07042494552982587
16.0,5.0,70.76227200000001,934.2174180748443,2046.991836734694,0.07065912185521685
17.0,8.0,70.76707400000001,933.2468126052441,1783.1020408163263,0.11304692348873996
18.0,7.0,71.028783,896.2709245076586,2049.3556851311955,0.09855159703355751
19.0,10.0,70.939946,899.7540679073927,1913.5734693877553,0.1409643023974109
20.0,9.0,70.78628200000001,901.6628803524715,1895.0702947845805,0.1271432789760027
21.0,8.0,70.14041300000001,932.7497658932473,2020.1607142857142,0.11405692749485234
22.0,7.0,70.88232200000002,916.1651256763236,1901.5276967930029,0.09875522983008371
23.0,8.0,69.96994200000002,949.2567713222767,1953.237244897959,0.11433480965297925
24.0,8.0,70.72385600000001,924.8743037887643,1913.8112244897957,0.11311600430836236
25.0,9.0,70.02276400000001,933.5446037158166,2046.2879818594106,0.12852963073551338
26.0,9.0,70.81269300000001,908.4615305245056,1932.1156462585034,0.1270958583653922
27.0,9.0,70.84630700000001,927.0431852564984,1952.5736961451248,0.12703555599588273
28.0,10.0,70.69024200000001,915.4480853561687,2012.0163265306123,0.141462240290534
29.0,11.0,69.89551100000001,933.7978388585816,1860.465677179963,0.15737777494752128
30.0,12.0,70.603806,897.8965672676837,1945.8826530612243,0.16996250881999192
31.0,12.0,69.914719,910.1102315317524,2170.957482993197,0.17163767761120516
32.0,13.0,70.049175,898.3246216367713,2187.448979591837,0.1855839130153924
33.0,11.0,70.79108400000001,888.138709566058,2076.118738404453,0.15538679984049966
34.0,17.0,70.138012,869.1864215789844,2016.6566626650658,0.24237926789256586
35.0,14.0,70.80549,851.3613839053337,2046.1763848396502,0.1977247809456583
36.0,8.0,70.822297,868.7140502112168,2128.1505102040815,0.1129587762452833
37.0,14.0,70.944748,857.496815066122,1986.5291545189505,0.19733666542870798
38.0,12.0,70.995169,852.217392804167,2221.7721088435374,0.16902558538877482
39.0,14.0,70.94714900000001,847.8072289156627,1921.4883381924199,0.19732998714296465
40.0,11.0,70.99997100000002,852.1302761137506,1940.9833024118739,0.15492964074590956
41.0,10.0,70.82950000000001,850.796327557102,2354.708163265306,0.14118411114013227
42.0,8.0,70.89192600000001,841.5395463747727,2329.533163265306,0.11284782980786837
43.0,10.0,70.95195100000001,837.0480564155487,2259.014285714286,0.1409404513767352
44.0,11.0,70.83190100000002,829.6723031265097,2124.194805194805,0.15529725794031699
45.0,15.0,70.84150500000001,826.0351760538927,2067.721088435374,0.21174027852739716
46.0,12.0,70.81509400000002,820.3418049792531,2253.3860544217687,0.16945539887301422
47.0,15.0,70.80308900000001,817.2339981930642,2111.1401360544214,0.21185516355084447
48.0,15.0,70.788683,825.536490386287,2207.6544217687074,0.21189827758202534
49.0,13.0,71.00957500000001,814.8802722028395,2101.7613814756673,0.18307390235753415
50.0,13.0,70.927941,799.871948267515,2268.913657770801,0.18328460993954412
51.0,14.0,71.21606100000001,795.7645537315492,2155.9489795918366,0.19658486868573086
52.0,11.0,70.95435200000001,810.5998897198194,2344.4063079777366,0.15502925035521425
53.0,14.0,70.90153000000001,800.4618369538856,2154.2026239067054,0.19745695191627033
54.0,12.0,71.040788,804.5844191658049,2113.460884353741,0.16891704523322573
55.0,15.0,71.04799100000001,794.9650119513632,2073.047619047619,0.21112490006930665
56.0,16.0,71.11521900000001,785.3451968394788,2087.9464285714284,0.2249870031336049
57.0,15.0,70.92073800000001,782.140324091745,1977.6666666666665,0.21150372123877217
58.0,19.0,70.961555,773.6884467713787,1983.6139784946236,0.2677506151041927
59.0,18.0,71.01677800000002,767.0205345955728,1951.4931972789116,0.2534612313726764
60.0,17.0,70.96395600000001,764.9687565235544,2161.521008403361,0.23955823432391504
61.0,16.0,71.08400600000002,758.8081631237646,2071.170918367347,0.22508579496771744
62.0,15.0,70.90153000000001,753.3896505049804,1881.3088435374148,0.21156101991028964
63.0,15.0,71.01677800000002,762.9551550857736,2154.568707482993,0.21121769281056368
64.0,11.0,70.96875800000001,758.6367300537412,2091.5361781076067,0.15499778085449936
65.0,13.0,70.97356,743.9730028690933,1986.4992150706437,0.18316680183437323
66.0,11.0,71.47777,728.603905208084,1920.5807050092765,0.1538940008900669
67.0,15.0,71.5498,719.0382036381143,1788.5727891156462,0.2096441918775454
68.0,14.0,71.45616100000001,715.0863183224476,1915.1326530612243,0.19592432344637153
69.0,12.0,71.69386000000002,708.2095898364126,1879.2244897959183,0.16737835011254795
70.0,13.0,71.448958,701.9025294299345,1890.0361067503925,0.18194806983749154
71.0,15.0,71.393735,699.75529200855,1885.6272108843536,0.21010246907519264
72.0,13.0,71.23286800000001,702.0953446732319,1953.5070643642073,0.18250002232115656
73.0,12.0,71.511384,680.0044515974387,1999.1377551020407,0.16780545038815078
74.0,13.0,71.612226,676.8457375757783,1917.2715855572999,0.18153324824730346
75.0,12.0,71.47777,669.3137248184186,1968.4795918367347,0.16788436460734574
76.0,12.0,71.88594,665.4689500204277,1796.3163265306123,0.1669311133721003
77.0,14.0,71.734677,667.3828555772458,1897.8411078717202,0.19516363055485703
78.0,16.0,71.91715300000001,650.5091637833578,1611.6020408163265,0.22247821740106977
79.0,15.0,71.58101300000001,659.1599284928493,1943.8272108843537,0.20955277623690513
80.0,17.0,72.03000000000002,651.829227342813,1658.720288115246,0.2360127724559211
81.0,13.0,71.92915800000002,656.652488070893,1707.1805337519625,0.18073338214246853
82.0,15.0,72.01559400000001,649.2932595401592,1723.1265306122448,0.20828822157601032
83.0,17.0,71.64824100000001,655.4260809646856,1730.0216086434573,0.23727030507280697
84.0,11.0,72.14044600000001,642.5238111367023,1899.8181818181818,0.1524803436895857
85.0,12.0,71.852326,654.5872794167745,1842.4625850340135,0.16700920718975748
86.0,11.0,71.97717800000001,650.5513073005094,1971.3191094619667,0.1528262194441688
87.0,11.0,71.532993,656.1141714793425,2060.307977736549,0.15377519573380635
88.0,17.0,71.95076700000001,643.9000343053174,1826.2316926770707,0.23627267239555622
89.0,13.0,71.92915800000002,653.0061701039714,1841.828885400314,0.18073338214246853
90.0,17.0,71.902747,653.042619685418,1937.0876350540216,0.2364304662796819
91.0,16.0,71.83792000000001,667.8386620926243,1859.332908163265,0.2227235977879092
92.0,18.0,71.91715300000001,646.1217759130615,1837.816118047673,0.2502879945762035
93.0,14.0,71.96757400000001,646.7633366326496,1892.7230320699707,0.19453205411648303
94.0,15.0,72.03240100000001,634.8075556770051,1781.52925170068,0.20823962261094142
95.0,13.0,71.66024600000001,642.6500667419652,1860.9748822605966,0.18141160162916545
96.0,16.0,71.78749900000001,629.6913385286141,1778.9617346938774,0.22288003096472267
97.0,17.0,72.003589,628.5281480212437,1684.6158463385352,0.2360993422147332
98.0,14.0,71.864331,648.6045875636687,1764.5510204081631,0.19481152617979564
99.0,16.0,71.89314300000001,643.15528887365,1814.237244897959,0.22255251797796624
