,time(s),av_drop_density,fit
3,-5.0,0.05643155990290497,0.02938467560597741
4,0.0,0.04225210954924153,0.0366784694424344
5,5.0,0.02839564532901927,0.043678707272715306
6,10.0,0.0844356929037823,0.050397203953490635
7,15.0,0.07106906147419804,0.05684529882454417
8,20.0,0.08558077969795688,0.06303387484707615
9,25.0,0.05696216745148429,0.06897337697174019
10,30.0,0.0422363987286675,0.07467382976741499
11,35.0,0.07055378910817696,0.0801448543404645
12,40.0,0.0982990625120109,0.08539568457304227
13,45.0,0.07033455955542255,0.09043518270784677
14,50.0,0.0845843070396812,0.09527185430563145
15,55.0,0.07042494552982587,0.09991386260071432
16,60.0,0.07065912185521685,0.10436904227871593
17,65.0,0.11304692348873996,0.10864491269978001
18,70.0,0.09855159703355751,0.1127486905895937
19,75.0,0.1409643023974109,0.11668730221962834
20,80.0,0.1271432789760027,0.12046739509715686
21,85.0,0.11405692749485234,0.12409534918477945
22,90.0,0.09875522983008371,0.12757728766839235
23,95.0,0.11433480965297925,0.13091908729177434
24,100.0,0.11311600430836236,0.1341263882752335
25,105.0,0.12852963073551338,0.13720460383505448
26,110.0,0.1270958583653922,0.14015892931981278
27,115.0,0.12703555599588273,0.14299435097897695
28,120.0,0.141462240290534,0.14571565437859704
29,125.0,0.15737777494752128,0.1483274324782844
30,130.0,0.16996250881999192,0.15083409338311352
31,135.0,0.17163767761120516,0.15323986778353102
32,140.0,0.1855839130153924,0.1555488160958272
33,145.0,0.15538679984049966,0.157764835315223
34,150.0,0.24237926789256586,0.15989166559313764
35,155.0,0.1977247809456583,0.1619328965497391
36,160.0,0.1129587762452833,0.1638919733324307
37,165.0,0.19733666542870798,0.1657722024304997
38,170.0,0.16902558538877482,0.16757675725574153
39,175.0,0.19732998714296465,0.1693086834984786
40,180.0,0.15492964074590956,0.1709709042680135
41,185.0,0.14118411114013227,0.17256622502619234
42,190.0,0.11284782980786837,0.17409733832240537
43,195.0,0.1409404513767352,0.1755668283380161
44,200.0,0.15529725794031699,0.17697717524788917
45,205.0,0.21174027852739716,0.1783307594063782
46,210.0,0.16945539887301422,0.1796298653648387
47,215.0,0.21185516355084447,0.1808766857274466
48,220.0,0.21189827758202534,0.18207332485183023
49,225.0,0.18307390235753415,0.18322180240076152
50,230.0,0.18328460993954412,0.18432405675090127
51,235.0,0.19658486868573086,0.18538194826435103
52,240.0,0.15502925035521425,0.18639726242853383
53,245.0,0.19745695191627033,0.187371712869703
54,250.0,0.16891704523322573,0.18830694424516506
55,255.0,0.21112490006930665,0.18920453501909834
56,260.0,0.2249870031336049,0.19006600012665217
57,265.0,0.21150372123877217,0.19089279353082308
58,270.0,0.2677506151041927,0.19168631067642364
59,275.0,0.2534612313726764,0.19244789084528507
60,280.0,0.23955823432391504,0.1931788194166697
61,285.0,0.22508579496771744,0.19388033003670738
62,290.0,0.21156101991028964,0.19455360670051788
63,295.0,0.21121769281056368,0.19519978575053354
64,300.0,0.15499778085449936,0.1958199577943943
65,305.0,0.18316680183437323,0.19641516954565286
66,310.0,0.1538940008900669,0.19698642559039625
67,315.0,0.2096441918775454,0.19753469008276525
68,320.0,0.19592432344637153,0.19806088837223398
69,325.0,0.16737835011254795,0.19856590856539555
70,330.0,0.18194806983749154,0.19905060302488997
71,335.0,0.21010246907519264,0.19951578980800433
72,340.0,0.18250002232115656,0.19996225404737272
73,345.0,0.16780545038815078,0.2003907492761071
74,350.0,0.18153324824730346,0.20080199869959484
75,355.0,0.16788436460734574,0.20119669641610974
76,360.0,0.1669311133721003,0.20157550858829684
77,365.0,0.19516363055485703,0.2019390745675079
78,370.0,0.22247821740106977,0.20228800797288538
79,375.0,0.20955277623690513,0.20262289772701625
80,380.0,0.2360127724559211,0.20294430904990318
81,385.0,0.18073338214246853,0.20325278441293138
82,390.0,0.20828822157601032,0.2035488444544404
83,395.0,0.23727030507280697,0.20383298885844683
84,400.0,0.1524803436895857,0.2041056971980007
85,405.0,0.16700920718975748,0.2043674297445989
86,410.0,0.1528262194441688,0.20461862824502192
87,415.0,0.15377519573380635,0.20485971666690483
88,420.0,0.23627267239555622,0.20509110191430133
89,425.0,0.18073338214246853,0.20531317451444772
90,430.0,0.2364304662796819,0.20552630927688692
91,435.0,0.2227235977879092,0.2057308659260641
92,440.0,0.2502879945762035,0.20592718970846224
93,445.0,0.19453205411648303,0.20611561197530207
94,450.0,0.20823962261094142,0.2062964507417896
95,455.0,0.18141160162916545,0.20647001122385583
96,460.0,0.22288003096472267,0.20663658635329385
97,465.0,0.2360993422147332,0.20679645727216292
98,470.0,0.19481152617979564,0.20694989380729437
99,475.0,0.22255251797796624,0.20709715492569963
