,x-centroids,y-centroids,pixel major,pixel minor,puncta major,puncta minor,aspect ratio,orientation,average background,puncta intensity,partition coeff,file number,channel number,frame number,stack number,puncta index,covariances
0,186.85186656625888,47.940435583621536,4.89487346176616,3.1923892559909524,0.23921540507699462,0.15601397972804296,1.5332946797074525,1.168036949556291,692.1470588235294,2804.0,4.051162197764841,file 1,channel 2,1,zstack 1,0,"[5.91606213e+01 3.82333096e-02 5.40587925e-02 1.58285919e-02
 1.44481871e-02 7.80981396e-03 1.68489776e+01]"
1,118.26277807549141,55.95906974931956,3.990601665313712,3.629104788118583,0.19502309943769353,0.1773565299976943,1.0996104820060977,1.7275142839845812,1062.1617647058824,9195.0,8.656873468370554,file 1,channel 2,1,zstack 1,1,"[1.56105479e+02 2.73994457e-02 3.00556209e-02 8.45109863e-03
 9.61988925e-03 7.00420357e-03 4.20221596e+01]"
2,133.93588060537212,67.03102716796921,4.32827049488505,3.9619885898741987,0.21152517788338168,0.19362476126098158,1.0924490055188376,0.32621363797663433,1188.8552631578948,5043.0,4.241895675849169,file 1,channel 2,1,zstack 1,2,"[8.14745706e+01 3.64573542e-02 3.37055746e-02 7.00702185e-03
 9.13372430e-03 8.24361610e-03 2.63333007e+01]"
3,237.76133864180017,75.5635231580867,4.920996904573904,3.852956895473126,0.24049207341215634,0.18829631689033327,1.2772000928314635,0.8494845729548647,1209.7058823529412,3549.0,2.9337709700948214,file 1,channel 2,1,zstack 1,3,"[5.11343719e+01 3.68697135e-02 3.96852275e-02 8.00132775e-03
 9.12147548e-03 6.85999272e-03 1.83637337e+01]"
4,389.61445784113374,92.04121167659468,5.109977612266366,4.198132533052056,0.2497276740656772,0.20516525755062165,1.2172025470933372,2.286191904370223,1231.3695652173913,3873.0,3.145278322122769,file 1,channel 2,1,zstack 1,4,"[6.86846713e+01 4.64892125e-02 4.94946382e-02 8.55757291e-03
 9.35046479e-03 7.49359619e-03 2.86441576e+01]"
5,171.45577836042452,92.71570582680161,4.114059644661067,3.971682697807688,0.20105656501555724,0.19409851813626822,1.035848016492347,-0.7356809547034101,655.9718309859155,3522.0,5.369132992656847,file 1,channel 2,1,zstack 1,5,"[4.71448064e+01 2.56568141e-02 2.54292057e-02 5.80732118e-03
 7.15125962e-03 5.92098927e-03 1.43623195e+01]"
6,270.0161637222041,94.48865387542655,4.143620922602757,3.655214918458866,0.20250124241787432,0.178632547744578,1.1336189567615949,0.8105315191870244,1461.9756097560976,5192.0,3.551358836188919,file 1,channel 2,1,zstack 1,6,"[1.69933630e+02 7.15980424e-02 7.25723715e-02 1.85599893e-02
 2.29531771e-02 1.80334198e-02 4.78096626e+01]"
7,403.2807967820377,97.63529526583942,5.578502735671892,4.0375013972108285,0.2726247781603276,0.1973151174952396,1.3816720260519568,0.0884263471270636,981.8720930232558,4084.0,4.159401238734738,file 1,channel 2,1,zstack 1,7,"[7.94462504e+01 5.95298039e-02 4.27392783e-02 5.57120915e-03
 8.77244017e-03 1.08553041e-02 3.34305938e+01]"
8,150.84930540862683,99.14945861727776,4.989821320090427,3.6995977567824623,0.24385556392229343,0.1808015637019824,1.348746984977651,2.0416430982650944,853.4805194805194,3600.0,4.2180224596001095,file 1,channel 2,1,zstack 1,8,"[5.96635511e+01 3.33339936e-02 4.17161081e-02 9.34882424e-03
 9.08765677e-03 5.86473573e-03 2.06143107e+01]"
9,198.47283031890996,100.57490035336762,4.76080737980663,3.999785572430917,0.2326635151551124,0.19547192249275142,1.1902656513942054,1.8039661132024458,1167.5301204819277,3478.0,2.978938135287137,file 1,channel 2,1,zstack 1,10,"[5.52201816e+01 3.97175880e-02 4.68478679e-02 9.72019844e-03
 9.63265679e-03 6.89770762e-03 1.98346290e+01]"
10,227.97671009211956,104.41620909298348,4.804047723882786,4.0594005558027355,0.23477669673266316,0.1983853425244109,1.183437716442052,0.8103269371275693,870.6216216216217,3330.0,3.824853320088163,file 1,channel 2,1,zstack 1,11,"[4.77280193e+01 3.26968768e-02 3.32998570e-02 6.26922074e-03
 7.32961115e-03 6.02885323e-03 1.77700482e+01]"
11,339.3435647821544,107.19705343825349,5.4069751963195944,3.571893029825242,0.26424212432289523,0.1745605570185745,1.5137561934726067,0.9264814703132864,712.0285714285715,2778.0,3.9015288311062957,file 1,channel 2,1,zstack 1,12,"[2.82852283e+01 2.22602788e-02 2.71825613e-02 5.79670103e-03
 6.16031783e-03 3.82679538e-03 1.01737136e+01]"
12,210.6191040396692,116.95700509227498,4.309156472390336,4.063581822213411,0.21059106412754336,0.19858968352443415,1.0604330516576537,2.034535754700541,1210.578947368421,5187.0,4.284726751010826,file 1,channel 2,1,zstack 1,13,"[7.09558583e+01 2.83383713e-02 2.96373121e-02 6.40899816e-03
 7.31668957e-03 5.84465371e-03 2.34551221e+01]"
13,299.33879500413235,118.19853749201029,5.469825105097577,3.579140111788282,0.2673136371014815,0.17491472626543164,1.5282511816405626,1.7572105401351732,942.560975609756,4577.0,4.855919265105447,file 1,channel 2,1,zstack 1,14,"[5.79397327e+01 2.19999761e-02 3.31910961e-02 7.47072973e-03
 5.86872044e-03 3.21294819e-03 2.06144193e+01]"
14,362.8130436825399,120.19541936757312,4.202233321058903,4.0580957222379,0.20536566552272859,0.19832157452464375,1.0355185310270394,0.30522918262579557,699.1408450704225,3008.0,4.302423497653055,file 1,channel 2,1,zstack 1,15,"[3.98941381e+01 2.93111490e-02 2.84026430e-02 6.09505186e-03
 7.56870868e-03 6.50513883e-03 1.28133874e+01]"
