,time(s),av_drop_density,fit
0,0.0,0.1794098764778181,0.19689248481954427
1,60.0,0.16558716941194324,0.17488885323635178
2,120.0,0.20891509222682092,0.15534422765987713
3,180.0,0.1244997392975459,0.13798380297360072
4,240.0,0.15216129418105193,0.12256348478389623
5,300.0,0.08331806645485083,0.10886645735692876
6,360.0,0.08327364347963415,0.09670013510422988
7,420.0,0.1246612175586322,0.08589345475363883
8,480.0,0.04160770508125776,0.07629447013246918
9,540.0,0.04167431737676508,0.06776821574460694
10,600.0,0.06910225774213404,0.060194809102594685
11,660.0,0.027693282879310496,0.05346776513274469
12,720.0,0.041706311411935336,0.0474924989531551
13,780.0,0.06931847544494212,0.042184995973099
14,840.0,0.027696045209694785,0.03747063061486166
15,900.0,0.02759603298746995,0.03328311704879046
16,960.0,0.041688221793346136,0.02956357718848004
17,1020.0,0.013906281397775966,0.026259712841738767
18,1080.0,0.013990363717278811,0.023325070377453638
19,1140.0,0.027919767244068392,0.020718387569280863
20,1200.0,0.013924413355066369,0.018403013432527628
21,1260.0,0.013983787532345898,0.01634639289690378
22,1320.0,0.01397581047157445,0.014519609069439571
23,1380.0,0.027869325026825268,0.012896976651606343
24,1440.0,0.013747008874257855,0.011455680793925076
25,1500.0,0.027501279531406794,0.010175456310216591
26,1560.0,0.041738354609505965,0.009038302741119816
27,1620.0,0.01397393483856367,0.008028231260559078
28,1680.0,0.01399929843915802,0.007131039866565983
29,1740.0,0.013865541243204948,0.006334113695550438
