Distance,f3,f4,f5,f6,f7,f8
1.16068,2006.026,2072.081,1848.115,4818.393,2065.299,2221.121
1.17289,1989.446,2132.438,1846.286,4609.035,2362.341,1916.455
1.18511,1974.854,2198.874,1836.877,4402.345,2658.808,1612.151
1.19733,1958.126,2271.013,1828.722,4199.304,2954.701,1308.364
1.20955,1952.172,2382.313,1821.821,3977.644,3250.018,1005
1.22176,1952.812,2526.751,1815.381,3755.174,3642.713,853.091
1.23398,1961.056,2673.591,1802.881,3536.586,4034.473,702.606
1.2462,1981.187,2823.08,1793.214,3322.177,4426.928,552.545
1.25842,2009.595,3000.049,1787.254,3122.916,4818.354,402.909
1.27063,2046.864,3220.795,1783.873,2930.862,5171.461,373.394
1.28285,2093.036,3442.5,1801,2741.972,5525.048,344.364
1.29507,2131.637,3664,1814.818,2557.384,5878.114,315.485
1.30729,2165.06,3877.126,1835.321,2404.403,6232.659,287.152
1.31951,2202.405,4064.19,1863.143,2265.011,6385.377,305.636
1.33172,2243.898,4246.309,1929.885,2128.479,6538.401,324.061
1.34394,2261.812,4423.502,2032.373,1994.758,6692.94,343
1.35616,2214.492,4589.849,2144.893,1899.024,6847.659,361.818
1.36838,2170.76,4687.478,2267.111,1822.866,6711.874,365.636
1.38059,2131.797,4787.546,2412.778,1748.631,6576.665,369.879
1.39281,2096.885,4890.055,2600.928,1676.102,6441.569,373.727
1.40503,2035.697,4995.95,2798.488,1637.244,6306.97,377.576
1.41725,1980.307,4986.353,3006.206,1618.968,5932.802,352.394
1.42946,1932.913,4979.421,3222.572,1602.538,5558.06,327.182
1.44168,1893.639,4982.28,3381.27,1588.02,5182.09,301.818
1.4539,1871.621,4995.7,3540.917,1587.978,4806.15,276.333
1.46612,1864.769,4923.052,3702.428,1598.65,4351.15,249
1.47833,1858.023,4838.408,3866.353,1610.869,3894.024,222
1.49055,1867.853,4766.009,3952.206,1624.624,3436.018,193.939
1.50277,1904.46,4681.573,4015.286,1627.553,2975.491,166.818
1.51499,1988.628,4521.999,4077.111,1618.855,2602.18,161.152
1.52721,2087.342,4342.464,4137.683,1611.651,2226.263,156.333
1.53942,2199.24,4173.497,4128,1605.685,1847.299,150.636
1.55164,2326.47,4014.937,4054.544,1584.826,1466.952,146.061
1.56386,2484.116,3841.48,3977.952,1547.309,1249.144,154.485
1.57608,2653.232,3652.195,3898.107,1511.031,1031.269,164
1.58829,2831.753,3471.529,3739.706,1476.014,814.707,172.758
1.60051,2996.589,3299.025,3520.028,1437.606,597.994,182.758
1.61273,3153.25,3126.531,3303,1392.357,517.599,187
1.62495,3301.952,2945.863,3089.222,1347.393,438.437,192.515
1.63716,3452.694,2770.967,2877.698,1303.122,359.234,197.333
1.64938,3605.62,2601.439,2669.357,1265.168,281.521,203.364
1.6616,3747.715,2439.36,2466,1237.037,282.216,200.636
1.67382,3837.693,2289.423,2267.722,1208.362,283.934,199.152
1.68603,3927.911,2142.786,2074.428,1178.148,286.832,196.909
1.69825,4017.694,1987.543,1932.627,1153.283,290.222,195.697
1.71047,4107.53,1837.035,1810,1139.401,338.665,196.424
1.72269,4081.812,1731.029,1692.5,1124.011,387.916,197.273
1.73491,4028.768,1631.956,1563.857,1107.205,438.515,198.242
1.74712,3976.016,1541.327,1475.929,1088.749,490.018,199.333
1.75934,3924.612,1458.501,1424.857,1067.532,571.976,207.818
1.77156,3836.937,1419.616,1379.429,1045.336,654.796,215.697
1.78378,3714.719,1388.321,1339.849,1022.081,738.473,224.212
1.79599,3594.711,1362.332,1315,992.778,823.066,232.182
1.80821,3477.015,1340.96,1317.682,946.236,911.162,241.727
1.82043,3357.698,1342.182,1324.798,899.014,1000.599,251.788
1.83265,3225.743,1351.17,1336.286,850.625,1089.79,261.364
1.84486,3070.452,1361.702,1352.675,798.38,1180.09,270.939
1.85708,2897.636,1373.348,1367.556,731.632,1237.365,282.121
1.8693,2731.941,1394.18,1385.571,664.528,1295.545,293.364
1.88152,2596.406,1419.544,1402.556,596.878,1352.629,304.667
1.89373,2472.503,1429.261,1422.825,530.1,1410.617,316.03
1.90595,2355.031,1434.093,1425.714,474.134,1423.144,348.909
1.91817,2244.184,1440.885,1422.687,416.167,1435.096,381.212
1.93039,2153.179,1449.971,1420.627,357.231,1446.904,414.212
1.94261,2083.196,1457.841,1419.821,300.109,1457.659,447.636
1.95482,2018.496,1464.432,1404.857,282.794,1446.509,527.939
1.96704,1951.503,1469.513,1375.639,263.232,1434.593,608.545
1.97926,1872.325,1473.558,1346.143,241.893,1422.15,690.364
1.99148,1803.628,1478.337,1316.02,221.027,1408.653,771.606
2.00369,1739.111,1484.075,1283.206,239.738,1400.245,899.091
2.01591,1679.32,1487.779,1244.286,257.916,1391.168,1027
